pc_time,type,node_id,seq,gps_valid,lat,lng,speed_mps,heading_deg,node_risk,tx_ms,rx_ms,recv_count,lost_count,rssi,src_mac,source_mode
1784521912.2154357,cane,4125577512,7053,0,37.0,127.0,0.0,0.0,0,721207,7290438,48021,90105,-36,30:76:F5:E7:51:28,test
1784521912.3174636,cane,4125577512,7054,0,37.0,127.0,0.0,0.0,0,721309,7290540,48022,90105,-37,30:76:F5:E7:51:28,test
1784521912.419431,cane,4125577512,7055,0,37.0,127.0,0.0,0.0,0,721411,7290642,48023,90105,-37,30:76:F5:E7:51:28,test
1784521912.521426,cane,4125577512,7056,0,37.0,127.0,0.0,0.0,0,721513,7290744,48024,90105,-36,30:76:F5:E7:51:28,test
1784521912.6234243,cane,4125577512,7057,0,37.0,127.0,0.0,0.0,0,721615,7290846,48025,90105,-37,30:76:F5:E7:51:28,test
1784521912.725427,cane,4125577512,7058,0,37.0,127.0,0.0,0.0,0,721717,7290948,48026,90105,-38,30:76:F5:E7:51:28,test
1784521912.8274503,cane,4125577512,7059,0,37.0,127.0,0.0,0.0,0,721819,7291050,48027,90105,-38,30:76:F5:E7:51:28,test
1784521912.929447,cane,4125577512,7060,0,37.0,127.0,0.0,0.0,0,721921,7291152,48028,90105,-41,30:76:F5:E7:51:28,test
1784521913.0314512,cane,4125577512,7061,0,37.0,127.0,0.0,0.0,0,722023,7291254,48029,90105,-39,30:76:F5:E7:51:28,test
1784521913.1334665,cane,4125577512,7062,0,37.0,127.0,0.0,0.0,0,722125,7291356,48030,90105,-40,30:76:F5:E7:51:28,test
1784521913.2353694,cane,4125577512,7063,0,37.0,127.0,0.0,0.0,0,722227,7291458,48031,90105,-37,30:76:F5:E7:51:28,test
1784521913.3374705,cane,4125577512,7064,0,37.0,127.0,0.0,0.0,0,722329,7291560,48032,90105,-39,30:76:F5:E7:51:28,test
1784521913.4393835,cane,4125577512,7065,0,37.0,127.0,0.0,0.0,0,722431,7291662,48033,90105,-38,30:76:F5:E7:51:28,test
1784527638.167264,cane,4125577512,295,0,37.0,127.0,0.0,0.0,0,31882,33608,296,0,-35,30:76:F5:E7:51:28,fallback
1784527638.265923,cane,4125577512,296,0,37.0,127.0,0.0,0.0,0,31984,33707,297,0,-34,30:76:F5:E7:51:28,fallback
1784527638.3692532,cane,4125577512,297,0,37.0,127.0,0.0,0.0,0,32086,33810,298,0,-34,30:76:F5:E7:51:28,fallback
1784527638.469884,cane,4125577512,298,0,37.0,127.0,0.0,0.0,0,32188,33911,299,0,-34,30:76:F5:E7:51:28,fallback
1784527638.571887,cane,4125577512,299,0,37.0,127.0,0.0,0.0,0,32290,34013,300,0,-34,30:76:F5:E7:51:28,fallback
1784527638.67381,cane,4125577512,300,0,37.0,127.0,0.0,0.0,0,32392,34115,301,0,-37,30:76:F5:E7:51:28,fallback
1784527638.775823,cane,4125577512,301,0,37.0,127.0,0.0,0.0,0,32494,34217,302,0,-34,30:76:F5:E7:51:28,fallback
1784527638.8777952,cane,4125577512,302,0,37.0,127.0,0.0,0.0,0,32596,34319,303,0,-34,30:76:F5:E7:51:28,fallback
1784527638.9799159,cane,4125577512,303,0,37.0,127.0,0.0,0.0,0,32698,34421,304,0,-34,30:76:F5:E7:51:28,fallback
1784527639.0821846,cane,4125577512,304,0,37.0,127.0,0.0,0.0,0,32800,34523,305,0,-34,30:76:F5:E7:51:28,fallback
1784527639.183999,cane,4125577512,305,0,37.0,127.0,0.0,0.0,0,32902,34625,306,0,-34,30:76:F5:E7:51:28,fallback
1784527639.2858505,cane,4125577512,306,0,37.0,127.0,0.0,0.0,0,33004,34727,307,0,-34,30:76:F5:E7:51:28,fallback
1784527639.3906755,cane,4125577512,307,0,37.0,127.0,0.0,0.0,0,33106,34832,308,0,-34,30:76:F5:E7:51:28,fallback
1784527639.4899428,cane,4125577512,308,0,37.0,127.0,0.0,0.0,0,33208,34931,309,0,-38,30:76:F5:E7:51:28,fallback
1784527639.5924277,cane,4125577512,309,0,37.0,127.0,0.0,0.0,0,33310,35033,310,0,-34,30:76:F5:E7:51:28,fallback
1784527639.6938038,cane,4125577512,310,0,37.0,127.0,0.0,0.0,0,33412,35135,311,0,-34,30:76:F5:E7:51:28,fallback
1784527639.7962565,cane,4125577512,311,0,37.0,127.0,0.0,0.0,0,33514,35237,312,0,-34,30:76:F5:E7:51:28,fallback
1784527639.8978314,cane,4125577512,312,0,37.0,127.0,0.0,0.0,0,33616,35339,313,0,-35,30:76:F5:E7:51:28,fallback
1784527639.9997895,cane,4125577512,313,0,37.0,127.0,0.0,0.0,0,33718,35441,314,0,-34,30:76:F5:E7:51:28,fallback
1784527640.1018798,cane,4125577512,314,0,37.0,127.0,0.0,0.0,0,33820,35543,315,0,-33,30:76:F5:E7:51:28,fallback
1784527640.2070878,cane,4125577512,315,0,37.0,127.0,0.0,0.0,0,33922,35648,316,0,-34,30:76:F5:E7:51:28,fallback
1784527640.305793,cane,4125577512,316,0,37.0,127.0,0.0,0.0,0,34024,35747,317,0,-36,30:76:F5:E7:51:28,fallback
1784527640.407832,cane,4125577512,317,0,37.0,127.0,0.0,0.0,0,34126,35849,318,0,-34,30:76:F5:E7:51:28,fallback
1784527640.5097687,cane,4125577512,318,0,37.0,127.0,0.0,0.0,0,34228,35951,319,0,-34,30:76:F5:E7:51:28,fallback
1784527640.6119106,cane,4125577512,319,0,37.0,127.0,0.0,0.0,0,34330,36053,320,0,-34,30:76:F5:E7:51:28,fallback
1784527640.7142792,cane,4125577512,320,0,37.0,127.0,0.0,0.0,0,34432,36155,321,0,-36,30:76:F5:E7:51:28,fallback
1784527640.8169842,cane,4125577512,321,0,37.0,127.0,0.0,0.0,0,34534,36258,322,0,-34,30:76:F5:E7:51:28,fallback
1784527640.9190474,cane,4125577512,322,0,37.0,127.0,0.0,0.0,0,34636,36360,323,0,-34,30:76:F5:E7:51:28,fallback
1784527641.0271275,cane,4125577512,323,0,37.0,127.0,0.0,0.0,0,34738,36468,324,0,-34,30:76:F5:E7:51:28,fallback
1784527641.1239104,cane,4125577512,324,0,37.0,127.0,0.0,0.0,0,34840,36565,325,0,-34,30:76:F5:E7:51:28,fallback
1784527641.2262938,cane,4125577512,325,0,37.0,127.0,0.0,0.0,0,34942,36667,326,0,-34,30:76:F5:E7:51:28,fallback
1784527641.3258452,cane,4125577512,326,0,37.0,127.0,0.0,0.0,0,35044,36767,327,0,-33,30:76:F5:E7:51:28,fallback
1784527641.4278228,cane,4125577512,327,0,37.0,127.0,0.0,0.0,0,35146,36869,328,0,-34,30:76:F5:E7:51:28,fallback
1784527641.5298038,cane,4125577512,328,0,37.0,127.0,0.0,0.0,0,35248,36971,329,0,-34,30:76:F5:E7:51:28,fallback
