timestep_time;person_angle;person_edge;person_id;person_pos;person_slope;person_speed;person_type;person_x;person_y
103.0;328.21;:4620932573_w1;5.0;5.96;0.0;1.26;DEFAULT_PEDTYPE;3766.95;1210.85
103.0;44.97;-1450884426#2;3.0;3.31;0.0;1.51;DEFAULT_PEDTYPE;3539.14;1439.78
103.0;329.59;-220064934#5;4.0;32.36;0.0;1.46;DEFAULT_PEDTYPE;3759.08;1251.06
103.0;142.82;612099146#5;2.0;58.64;0.0;1.0;DEFAULT_PEDTYPE;3584.35;1465.03
104.0;328.21;:4620932573_w1;5.0;4.84;0.0;1.12;DEFAULT_PEDTYPE;3766.36;1211.8
104.0;44.97;-1450884426#2;3.0;4.79;0.0;1.48;DEFAULT_PEDTYPE;3540.16;1440.79
104.0;329.59;-220064934#5;4.0;33.87;0.0;1.51;DEFAULT_PEDTYPE;3758.32;1252.36
104.0;142.82;612099146#5;2.0;57.43;0.0;1.21;DEFAULT_PEDTYPE;3585.08;1464.07
105.0;328.21;:4620932573_w1;5.0;3.77;0.0;1.07;DEFAULT_PEDTYPE;3765.8;1212.71
105.0;44.97;-1450884426#2;3.0;6.23;0.0;1.44;DEFAULT_PEDTYPE;3541.14;1441.78
105.0;329.59;-220064934#5;4.0;35.39;0.0;1.52;DEFAULT_PEDTYPE;3757.55;1253.67
105.0;142.82;612099146#5;2.0;56.23;0.0;1.19;DEFAULT_PEDTYPE;3585.8;1463.12
106.0;328.21;:4620932573_w1;5.0;2.49;0.0;1.28;DEFAULT_PEDTYPE;3765.12;1213.8
106.0;44.97;-1450884426#2;3.0;7.64;0.0;1.41;DEFAULT_PEDTYPE;3542.11;1442.75
106.0;329.59;-220064934#5;4.0;36.82;0.0;1.43;DEFAULT_PEDTYPE;3756.83;1254.9
106.0;142.82;612099146#5;2.0;55.21;0.0;1.02;DEFAULT_PEDTYPE;3586.42;1462.3
107.0;327.92;:4620932573_w1;5.0;1.3;0.0;1.19;DEFAULT_PEDTYPE;3764.49;1214.81
107.0;44.97;-1450884426#2;3.0;9.03;0.0;1.4;DEFAULT_PEDTYPE;3543.07;1443.71
107.0;329.59;-220064934#5;4.0;38.12;0.0;1.3;DEFAULT_PEDTYPE;3756.17;1256.02
107.0;142.82;612099146#5;2.0;54.0;0.0;1.21;DEFAULT_PEDTYPE;3587.15;1461.34
108.0;327.92;:4620932573_w1;5.0;0.19;0.0;1.11;DEFAULT_PEDTYPE;3763.9;1215.75
108.0;44.97;-1450884426#2;3.0;10.5;0.0;1.47;DEFAULT_PEDTYPE;3544.08;1444.72
108.0;329.59;-220064934#5;4.0;39.58;0.0;1.47;DEFAULT_PEDTYPE;3755.43;1257.28
108.0;142.82;612099146#5;2.0;52.84;0.0;1.17;DEFAULT_PEDTYPE;3587.85;1460.41
109.0;44.97;-1450884426#2;3.0;11.95;0.0;1.45;DEFAULT_PEDTYPE;3545.07;1445.72
109.0;329.59;-220064934#5;4.0;41.07;0.0;1.49;DEFAULT_PEDTYPE;3754.68;1258.56
109.0;327.92;220064934#5;5.0;60.69;0.0;1.16;DEFAULT_PEDTYPE;3762.98;1216.54
109.0;142.82;612099146#5;2.0;51.62;0.0;1.22;DEFAULT_PEDTYPE;3588.59;1459.44
110.0;44.97;-1450884426#2;3.0;13.43;0.0;1.48;DEFAULT_PEDTYPE;3546.09;1446.73
110.0;329.61;-220064934#5;4.0;42.55;0.0;1.48;DEFAULT_PEDTYPE;3753.93;1259.84
110.0;327.92;220064934#5;5.0;59.63;0.0;1.07;DEFAULT_PEDTYPE;3762.41;1217.45
110.0;142.82;612099146#5;2.0;50.48;0.0;1.14;DEFAULT_PEDTYPE;3589.27;1458.53
111.0;44.97;-1450884426#2;3.0;14.81;0.0;1.38;DEFAULT_PEDTYPE;3547.03;1447.68
111.0;329.61;-220064934#5;4.0;43.89;0.0;1.34;DEFAULT_PEDTYPE;3753.25;1260.99
111.0;327.92;220064934#5;5.0;58.36;0.0;1.27;DEFAULT_PEDTYPE;3761.74;1218.52
111.0;142.82;612099146#5;2.0;49.3;0.0;1.18;DEFAULT_PEDTYPE;3589.99;1457.59
112.0;44.97;-1450884426#2;3.0;16.19;0.0;1.39;DEFAULT_PEDTYPE;3547.99;1448.63
112.0;329.61;-220064934#5;4.0;45.18;0.0;1.29;DEFAULT_PEDTYPE;3752.6;1262.1
112.0;327.92;220064934#5;5.0;57.25;0.0;1.11;DEFAULT_PEDTYPE;3761.15;1219.46
112.0;142.82;612099146#5;2.0;48.07;0.0;1.23;DEFAULT_PEDTYPE;3590.73;1456.61
113.0;44.97;-1450884426#2;3.0;17.56;0.0;1.37;DEFAULT_PEDTYPE;3548.93;1449.57
113.0;329.61;-220064934#5;4.0;46.76;0.0;1.58;DEFAULT_PEDTYPE;3751.8;1263.47
113.0;327.92;220064934#5;5.0;56.16;0.0;1.09;DEFAULT_PEDTYPE;3760.57;1220.39
113.0;142.82;612099146#5;2.0;46.89;0.0;1.18;DEFAULT_PEDTYPE;3591.44;1455.67
114.0;44.97;-1450884426#2;3.0;19.16;0.0;1.6;DEFAULT_PEDTYPE;3550.02;1450.67
114.0;329.61;-220064934#5;4.0;48.33;0.0;1.56;DEFAULT_PEDTYPE;3751.01;1264.81
114.0;327.92;220064934#5;5.0;55.05;0.0;1.11;DEFAULT_PEDTYPE;3759.98;1221.33
114.0;142.82;612099146#5;2.0;45.83;0.0;1.06;DEFAULT_PEDTYPE;3592.08;1454.83
115.0;44.97;-1450884426#2;3.0;20.83;0.0;1.67;DEFAULT_PEDTYPE;3551.17;1451.82
115.0;329.61;-220064934#5;4.0;49.88;0.0;1.56;DEFAULT_PEDTYPE;3750.23;1266.15
115.0;327.92;220064934#5;5.0;53.89;0.0;1.16;DEFAULT_PEDTYPE;3759.36;1222.32
115.0;142.82;612099146#5;2.0;44.73;0.0;1.11;DEFAULT_PEDTYPE;3592.75;1453.95
116.0;44.97;-1450884426#2;3.0;22.4;0.0;1.56;DEFAULT_PEDTYPE;3552.24;1452.89
116.0;329.61;-220064934#5;4.0;51.32;0.0;1.44;DEFAULT_PEDTYPE;3749.5;1267.39
116.0;327.92;220064934#5;5.0;52.72;0.0;1.17;DEFAULT_PEDTYPE;3758.74;1223.31
116.0;142.82;612099146#5;2.0;43.69;0.0;1.03;DEFAULT_PEDTYPE;3593.38;1453.12
117.0;44.97;-1450884426#2;3.0;23.95;0.0;1.55;DEFAULT_PEDTYPE;3553.31;1453.96
117.0;329.61;-220064934#5;4.0;52.63;0.0;1.31;DEFAULT_PEDTYPE;3748.84;1268.52
117.0;327.92;220064934#5;5.0;51.43;0.0;1.29;DEFAULT_PEDTYPE;3758.05;1224.4
117.0;142.82;612099146#5;2.0;42.51;0.0;1.18;DEFAULT_PEDTYPE;3594.09;1452.18
118.0;44.97;:2824550288_w2;3.0;0.77;0.0;1.57;DEFAULT_PEDTYPE;3554.15;1455.31
118.0;329.61;-220064934#5;4.0;54.09;0.0;1.46;DEFAULT_PEDTYPE;3748.1;1269.77
118.0;327.92;220064934#5;5.0;50.31;0.0;1.12;DEFAULT_PEDTYPE;3757.46;1225.35
118.0;142.82;612099146#5;2.0;41.45;0.0;1.07;DEFAULT_PEDTYPE;3594.73;1451.33
119.0;131.86;:2824550288_w2;3.0;2.45;0.0;1.68;DEFAULT_PEDTYPE;3556.31;1455.66
