pc_time,cane_seq,computed_level,effective_level,cane_node_risk,veh_node_risk,trusted,reason,target_id,distance_m,closing_mps,ttc_s,risk_score,rule_level,rule_reason,model_proba,level_source,cane_gps_valid,cane_lat,cane_lng,cane_speed_mps,cane_heading_deg,veh_gps_valid,veh_lat,veh_lng,veh_speed_mps,veh_heading_deg,rel_east_m,rel_north_m,distance_source
1787710454.223,391,0,0,0,0,1,heartbeat,0,5.96,0.01,9999.0,30.0,0,ttc_capped,,table,1,37.496536,126.957634,0.04,0.0,1,37.496559,126.957619,0.058,0.0,-0.86,5.9,gps
1787710454.505,394,0,0,0,0,1,heartbeat,0,5.97,0.01,9999.0,30.0,0,ttc_capped,,table,1,37.496536,126.957634,0.044,0.0,1,37.496559,126.957619,0.058,0.0,-0.86,5.91,gps
1787710454.716,396,0,0,0,0,1,heartbeat,0,5.75,0.01,9999.0,30.0,0,ttc_capped,,table,1,37.49654,126.957634,0.038,0.0,1,37.496559,126.957619,0.058,0.0,-0.89,5.69,gps
1787710454.934,397,0,0,0,0,1,heartbeat,0,5.75,0.01,9999.0,30.0,0,ttc_capped,,table,1,37.49654,126.957634,0.038,0.0,1,37.496559,126.957619,0.058,0.0,-0.89,5.68,gps
1787710455.142,400,0,0,0,0,1,heartbeat,0,5.75,0.0,9999.0,30.0,0,ttc_capped,,table,1,37.49654,126.957634,0.061,0.0,1,37.496559,126.957619,0.058,0.0,-0.89,5.69,gps
1787710455.353,402,0,0,0,0,1,heartbeat,0,5.75,0.0,9999.0,30.0,0,ttc_capped,,table,1,37.49654,126.957634,0.101,0.0,1,37.496559,126.957619,0.075,0.0,-0.89,5.69,gps
1787710455.568,404,0,0,0,0,1,heartbeat,0,5.53,0.0,9999.0,30.0,0,ttc_capped,,table,1,37.496544,126.957634,0.125,0.0,1,37.496559,126.957619,0.075,0.0,-0.91,5.46,gps
1787710455.789,406,0,0,0,0,1,heartbeat,0,5.53,0.01,9999.0,30.0,0,ttc_capped,,table,1,37.496544,126.957634,0.115,0.0,1,37.496559,126.957619,0.075,0.0,-0.91,5.46,gps
1787710456.005,408,0,0,0,0,1,heartbeat,0,5.53,0.01,9999.0,30.0,0,ttc_capped,,table,1,37.496544,126.957634,0.097,0.0,1,37.496559,126.957619,0.075,0.0,-0.91,5.46,gps
1787710456.205,410,0,0,0,0,1,heartbeat,0,5.53,0.0,9999.0,30.0,0,ttc_capped,,table,1,37.496544,126.957634,0.074,0.0,1,37.496559,126.957619,0.063,0.0,-0.91,5.46,gps
