pc_time,cane_seq,computed_level,effective_level,cane_node_risk,veh_node_risk,trusted,reason,target_id,distance_m,closing_mps,ttc_s,risk_score,rule_level,rule_reason,model_proba,level_source,cane_gps_valid,cane_lat,cane_lng,cane_speed_mps,cane_heading_deg,veh_gps_valid,veh_lat,veh_lng,veh_speed_mps,veh_heading_deg,rel_east_m,rel_north_m
1786933766.68,9222,0,0,0,0,1,heartbeat,0,88.01,-1.37,9999.0,5.0,0,ttc_capped,0.0001,table,1,37.496536,126.957672,0.303,0.0,1,37.495831,126.957161,1.418,213.83,-47.42,-74.15
1786933767.745,9232,0,0,0,0,1,heartbeat,0,89.89,-1.49,9999.0,5.0,0,ttc_capped,0.0001,table,1,37.496544,126.957664,0.338,0.0,1,37.495819,126.957153,1.51,215.48,-47.94,-76.04
1786933768.789,9242,0,0,0,0,1,heartbeat,0,91.42,-1.46,9999.0,5.0,0,ttc_capped,0.0001,table,1,37.496536,126.957657,0.102,0.0,1,37.495811,126.957146,1.49,216.92,-48.42,-77.54
1786933769.81,9251,0,0,0,0,1,heartbeat,0,92.87,-1.68,9999.0,5.0,0,ttc_capped,0.0001,table,1,37.496525,126.957649,0.107,0.0,1,37.4958,126.95713,1.741,219.75,-48.97,-78.91
1786933770.822,9261,0,0,0,0,1,heartbeat,0,94.51,-1.77,9999.0,5.0,0,ttc_capped,0.0001,table,1,37.496517,126.957649,0.197,0.0,1,37.495785,126.957115,1.8,220.6,-49.83,-80.31
1786933771.85,9271,0,0,0,0,1,heartbeat,0,96.04,-1.71,9999.0,5.0,0,ttc_capped,0.0001,table,1,37.496506,126.957649,0.268,0.0,1,37.495777,126.957108,1.727,219.5,-50.63,-81.61
1786933772.873,9280,0,0,0,0,1,heartbeat,0,97.27,-1.69,9999.0,5.0,0,ttc_capped,0.0001,table,1,37.496494,126.957642,0.23,0.0,1,37.495773,126.9571,1.727,219.5,-51.38,-82.59
1786933773.895,9290,0,0,0,0,1,heartbeat,0,98.11,-1.69,9999.0,5.0,0,ttc_capped,0.0001,table,1,37.496479,126.957642,0.138,0.0,1,37.495773,126.9571,1.727,219.19,-51.89,-83.26
1786933795.825,9498,0,0,0,0,1,heartbeat,0,71.35,-2.02,9999.0,5.0,0,ttc_capped,0.0001,table,1,37.496456,126.95768,1.444,0.0,1,37.495892,126.957306,0.087,0.0,-32.69,-63.42
1786933796.83,9507,0,0,0,0,1,heartbeat,0,73.31,-2.02,9999.0,5.0,0,ttc_capped,0.0002,table,1,37.496479,126.957687,1.73,0.0,1,37.495892,126.957306,0.197,0.0,-33.73,-65.09
1786933797.856,9517,0,0,0,0,1,heartbeat,0,77.57,-3.29,9999.0,5.0,0,ttc_capped,0.0001,table,1,37.496513,126.957695,2.118,0.0,1,37.495888,126.957298,0.206,0.0,-35.23,-69.11
1786933798.96,9528,0,0,0,0,1,heartbeat,0,80.76,-2.92,9999.0,5.0,0,ttc_capped,0.0001,table,1,37.496525,126.957703,1.77,0.0,1,37.495884,126.957298,0.119,0.0,-36.36,-72.11
1786933800.008,9537,0,0,0,0,1,heartbeat,0,82.07,-1.97,9999.0,5.0,0,ttc_capped,0.0,table,1,37.496532,126.95771,1.522,0.0,1,37.49588,126.957298,0.07,0.0,-36.54,-73.48
1786933801.038,9547,0,0,0,0,1,heartbeat,0,82.11,-0.9,9999.0,5.0,0,ttc_capped,0.0001,table,1,37.496529,126.95771,0.944,0.0,1,37.495876,126.957291,0.101,0.0,-36.74,-73.44
1786933802.13,9558,0,0,0,0,1,heartbeat,0,82.21,-0.43,9999.0,5.0,0,ttc_capped,0.0001,table,1,37.496532,126.95771,0.654,0.0,1,37.495876,126.957291,0.084,0.0,-37.14,-73.34
1786933803.185,9568,0,0,0,0,1,heartbeat,0,82.46,-0.36,9999.0,5.0,0,ttc_capped,0.0002,table,1,37.496532,126.95771,0.332,0.0,1,37.495872,126.957291,0.049,0.0,-37.16,-73.61
1786933804.212,9577,0,0,0,0,1,heartbeat,0,82.63,-0.15,9999.0,5.0,0,ttc_capped,0.0002,table,1,37.496536,126.957718,0.218,0.0,1,37.495872,126.957291,0.049,0.0,-37.2,-73.79
